iter	Accuracy	MultiClass
0	0.3209876543	3.683831149
1	0.3991769547	3.661627161
2	0.4979423868	3.64023371
3	0.6748971193	3.610462447
4	0.7160493827	3.58944342
5	0.7572016461	3.560893509
6	0.7777777778	3.532269397
7	0.7860082305	3.502101997
8	0.8148148148	3.489249992
9	0.8271604938	3.466071449
10	0.8353909465	3.444104391
11	0.8395061728	3.416204067
12	0.8559670782	3.392833503
13	0.8641975309	3.365823562
14	0.8518518519	3.347420088
15	0.8765432099	3.317558267
16	0.8971193416	3.286791877
17	0.8971193416	3.262606962
18	0.9094650206	3.232645104
19	0.9012345679	3.211064191
20	0.8971193416	3.186594139
21	0.9053497942	3.172732251
22	0.8888888889	3.141619872
23	0.8930041152	3.12054676
24	0.8930041152	3.103233808
25	0.9012345679	3.082493684
26	0.8888888889	3.065925652
27	0.8806584362	3.036556407
28	0.8971193416	3.007605733
29	0.8930041152	2.977964281
30	0.8765432099	2.95183943
31	0.8971193416	2.929030095
32	0.9176954733	2.902694656
33	0.9053497942	2.885662108
34	0.8971193416	2.857769056
35	0.8971193416	2.844531606
36	0.8971193416	2.826324903
37	0.8971193416	2.802104211
38	0.8971193416	2.78841712
39	0.9053497942	2.775446185
40	0.9012345679	2.756136944
41	0.8971193416	2.728148979
42	0.8930041152	2.710134726
43	0.8888888889	2.689191965
44	0.8888888889	2.67591398
45	0.8971193416	2.657026382
46	0.9012345679	2.634462771
47	0.9012345679	2.612842077
48	0.9012345679	2.596577061
49	0.9176954733	2.573642375
50	0.9094650206	2.554517633
51	0.9094650206	2.53705146
52	0.9094650206	2.516200455
53	0.9053497942	2.508484052
54	0.9094650206	2.497619417
55	0.9135802469	2.477865357
56	0.9135802469	2.467693211
57	0.9094650206	2.449683429
58	0.9094650206	2.436030044
59	0.9094650206	2.421371621
60	0.9094650206	2.40376269
61	0.9135802469	2.390003806
62	0.9094650206	2.376641595
63	0.9135802469	2.35901692
64	0.9135802469	2.337884392
65	0.9135802469	2.320920781
66	0.9094650206	2.307896099
67	0.9135802469	2.287687209
68	0.9135802469	2.268974784
69	0.9135802469	2.253309087
70	0.9094650206	2.233433353
71	0.9094650206	2.218470103
72	0.9094650206	2.201237797
73	0.9094650206	2.186661544
74	0.9094650206	2.167523964
75	0.9135802469	2.154005543
76	0.9094650206	2.135249005
77	0.9259259259	2.118220421
78	0.9218106996	2.102432982
79	0.9259259259	2.090503678
80	0.9259259259	2.077653492
81	0.9341563786	2.067349821
82	0.9341563786	2.054710902
83	0.9341563786	2.039564099
84	0.9341563786	2.027863663
85	0.9341563786	2.012798557
86	0.9382716049	1.997107374
87	0.9382716049	1.982055381
88	0.9341563786	1.974110626
89	0.9382716049	1.959573837
90	0.9382716049	1.94347686
91	0.9382716049	1.934780341
92	0.9423868313	1.921992189
93	0.9423868313	1.911259739
94	0.9423868313	1.899909666
95	0.9423868313	1.885717726
96	0.9423868313	1.873409838
97	0.9423868313	1.860615003
98	0.9465020576	1.849323402
99	0.9465020576	1.834361882
100	0.9465020576	1.825519625
101	0.9465020576	1.815839586
102	0.9465020576	1.806839816
103	0.9465020576	1.793450648
104	0.9423868313	1.779866287
105	0.9423868313	1.765295269
106	0.9423868313	1.75349094
107	0.9423868313	1.744168341
108	0.9465020576	1.730586349
109	0.9465020576	1.719263189
110	0.950617284	1.708681658
111	0.950617284	1.707723239
112	0.950617284	1.69804333
113	0.950617284	1.68533174
114	0.950617284	1.674820424
115	0.950617284	1.667626828
116	0.9588477366	1.65765584
117	0.962962963	1.643505061
118	0.9670781893	1.633171859
119	0.9670781893	1.625547661
120	0.9670781893	1.613798638
121	0.9711934156	1.60664902
122	0.9670781893	1.601271663
123	0.9711934156	1.590602583
124	0.975308642	1.577547781
125	0.975308642	1.567872973
126	0.975308642	1.556777488
127	0.975308642	1.545618367
128	0.975308642	1.537602574
129	0.975308642	1.527474423
130	0.975308642	1.517190227
131	0.9835390947	1.509492585
132	0.9835390947	1.50001088
133	0.9835390947	1.492592487
134	0.9835390947	1.481447862
135	0.9835390947	1.472217705
136	0.9835390947	1.460611487
137	0.9835390947	1.45129953
138	0.9835390947	1.445801661
139	0.9835390947	1.43510778
140	0.9835390947	1.429100286
141	0.9835390947	1.419806983
142	0.9835390947	1.408996335
143	0.987654321	1.400798943
144	0.9835390947	1.391794982
145	0.9835390947	1.385808975
146	0.9835390947	1.37921794
147	0.9835390947	1.37062323
148	0.9835390947	1.359953897
149	0.987654321	1.352455334
150	0.987654321	1.346658542
151	0.987654321	1.342060866
152	0.9917695473	1.33435549
153	0.9917695473	1.327331654
154	0.9958847737	1.31854004
155	0.9958847737	1.310515206
156	0.9917695473	1.302021043
157	0.9917695473	1.293085893
158	0.9958847737	1.284254423
159	0.9958847737	1.277361088
160	0.9958847737	1.271329301
161	1	1.265680853
162	1	1.258913834
163	1	1.249698957
164	1	1.242687288
165	1	1.233576212
166	1	1.22528299
167	1	1.220328537
168	1	1.215056728
169	1	1.20848361
170	1	1.203973333
171	1	1.198679258
172	1	1.193393579
173	1	1.188487793
174	1	1.180683309
175	1	1.175938851
176	1	1.167162018
177	1	1.160181223
178	1	1.155018664
179	1	1.151727371
180	1	1.142446838
181	1	1.135136123
182	1	1.131101727
183	1	1.124845869
184	1	1.117043008
185	1	1.109404742
186	1	1.105277831
187	1	1.098011357
188	1	1.092322659
189	1	1.085679352
190	1	1.080693478
191	1	1.073787231
192	1	1.067476792
193	1	1.061358235
194	1	1.053082171
195	1	1.047731791
196	1	1.042196457
197	1	1.037223991
198	1	1.030312551
199	1	1.024914955
200	1	1.020644509
201	1	1.016632421
202	1	1.010896821
203	1	1.005067201
204	1	0.9966339375
205	1	0.9929139703
206	1	0.9877049249
207	1	0.9820915165
208	1	0.9753774815
209	1	0.9698597061
210	1	0.9650217756
211	1	0.9593198446
212	1	0.955615582
213	1	0.9510748658
214	1	0.9467030825
215	1	0.9417814827
216	1	0.9365490503
217	1	0.9309491755
218	1	0.9274000347
219	1	0.9235783732
220	1	0.9179445218
221	1	0.9138787326
222	1	0.9098890782
223	1	0.9059218652
224	1	0.8984801575
225	1	0.8925582497
226	1	0.8880179951
227	1	0.8845544803
228	1	0.8810518979
229	1	0.8767295853
230	1	0.872734593
231	1	0.8686922902
232	1	0.8652685201
233	1	0.8616581184
234	1	0.8568965637
235	1	0.8533059683
236	1	0.8497995316
237	1	0.846715209
238	1	0.8432891714
239	1	0.8396605135
240	1	0.8367541947
241	1	0.8336892267
242	1	0.82799369
243	1	0.8248196357
244	1	0.8215403188
245	1	0.8184400218
246	1	0.8153556444
247	1	0.8120576363
248	1	0.8088060707
249	1	0.8060831891
250	1	0.8029794312
251	1	0.7986408143
252	1	0.7924310653
253	1	0.7892051614
254	1	0.7841208555
255	1	0.7801492587
256	1	0.7775035909
257	1	0.7741832645
258	1	0.7709814227
259	1	0.7681530819
260	1	0.7650926754
261	1	0.7621693546
262	1	0.7588372777
263	1	0.7559142653
264	1	0.7527424028
