iter	Passed	Remaining
0	181	90547
1	210	52351
2	239	39757
3	264	32820
4	288	28578
5	311	25609
6	336	23678
7	361	22226
8	385	21041
9	413	20274
10	426	18950
11	450	18337
12	476	17868
13	500	17373
14	526	17026
15	550	16664
16	577	16394
17	604	16188
18	629	15942
19	667	16017
20	694	15835
21	722	15698
22	749	15533
23	765	15178
24	780	14823
25	797	14544
26	822	14416
27	850	14336
28	876	14239
29	901	14130
30	927	14031
31	953	13943
32	979	13867
33	1008	13824
34	1036	13773
35	1062	13692
36	1088	13623
37	1117	13588
38	1142	13509
39	1170	13457
40	1200	13441
41	1227	13383
42	1254	13335
43	1279	13259
44	1306	13208
45	1330	13133
46	1342	12937
47	1368	12887
48	1393	12826
49	1429	12867
50	1456	12824
51	1463	12605
52	1492	12591
53	1496	12356
54	1522	12317
55	1550	12293
56	1579	12275
57	1610	12270
58	1653	12358
59	1689	12392
60	1723	12405
61	1738	12279
62	1769	12275
63	1803	12286
64	1835	12282
65	1843	12125
66	1893	12234
67	1932	12274
68	1965	12274
69	2002	12300
70	2039	12322
71	2085	12395
72	2117	12385
73	2144	12344
74	2172	12311
75	2202	12289
76	2232	12261
77	2258	12221
78	2271	12104
79	2296	12056
80	2323	12019
81	2351	11988
82	2378	11948
83	2407	11925
84	2422	11828
85	2457	11831
86	2491	11826
87	2524	11820
88	2541	11735
89	2568	11701
90	2598	11676
91	2624	11639
92	2651	11604
93	2679	11571
94	2714	11574
95	2756	11599
96	2780	11552
97	2807	11516
98	2841	11509
99	2871	11487
100	2900	11456
101	2927	11424
102	2953	11382
103	2981	11352
104	3010	11324
105	3050	11338
106	3079	11310
107	3107	11280
108	3134	11244
109	3167	11229
110	3198	11209
111	3200	11086
112	3227	11053
113	3256	11024
114	3281	10985
115	3308	10950
116	3336	10920
117	3365	10896
118	3400	10888
119	3414	10812
120	3446	10796
121	3482	10789
122	3508	10753
123	3533	10713
124	3565	10695
125	3598	10680
126	3628	10657
127	3660	10639
128	3695	10627
129	3731	10621
130	3758	10586
131	3787	10558
132	3821	10546
133	3857	10534
134	3888	10514
135	3920	10492
136	3951	10471
137	3975	10427
138	4006	10406
139	4034	10373
140	4058	10334
141	4087	10305
142	4114	10272
143	4140	10236
144	4164	10194
145	4189	10158
146	4212	10115
147	4234	10070
148	4256	10027
149	4282	9991
150	4309	9959
151	4332	9919
152	4362	9894
153	4385	9852
154	4409	9815
155	4435	9781
156	4460	9745
157	4486	9711
158	4516	9685
159	4542	9652
160	4565	9612
161	4587	9571
162	4617	9547
163	4644	9516
164	4676	9494
165	4708	9474
166	4738	9448
167	4768	9423
168	4795	9391
169	4824	9364
170	4849	9329
171	4878	9303
172	4908	9277
173	4936	9249
174	4970	9231
175	4998	9201
176	5028	9175
177	5065	9163
178	5097	9142
179	5126	9114
180	5176	9122
181	5206	9097
182	5233	9065
183	5261	9035
184	5288	9004
185	5305	8957
186	5336	8931
187	5372	8915
188	5400	8887
189	5432	8862
190	5465	8841
191	5496	8817
192	5522	8784
193	5552	8758
194	5585	8736
195	5614	8708
196	5639	8674
197	5665	8640
198	5688	8604
199	5718	8577
200	5747	8549
201	5775	8519
202	5803	8490
203	5831	8460
204	5859	8431
205	5885	8399
206	5914	8371
207	5941	8340
208	5971	8314
209	5997	8282
210	6023	8249
211	6055	8226
212	6087	8201
213	6116	8173
214	6147	8148
215	6178	8123
216	6208	8096
217	6241	8074
218	6274	8050
219	6302	8020
220	6337	8000
221	6365	7971
222	6389	7937
223	6419	7910
224	6451	7885
225	6483	7860
226	6518	7839
227	6542	7804
228	6570	7775
229	6596	7743
230	6629	7719
231	6653	7685
232	6683	7658
233	6712	7630
234	6745	7606
235	6771	7575
236	6810	7557
237	6840	7530
238	6862	7494
239	6885	7459
240	6909	7425
241	6934	7392
242	6960	7361
243	6988	7331
244	7013	7300
245	7040	7269
246	7072	7244
247	7105	7219
248	7129	7186
249	7159	7159
250	7186	7129
251	7215	7101
252	7243	7071
253	7271	7042
254	7294	7008
255	7329	6985
256	7358	6957
257	7389	6931
258	7417	6902
259	7445	6872
260	7468	6838
261	7498	6811
262	7523	6779
263	7553	6752
264	7583	6725
265	7612	6696
266	7644	6671
267	7672	6642
268	7702	6614
269	7731	6586
270	7761	6558
271	7790	6530
272	7821	6503
273	7851	6476
274	7879	6446
275	7907	6417
276	7938	6391
277	7966	6361
278	7994	6332
279	8026	6306
280	8056	6278
281	8086	6250
282	8113	6221
283	8145	6195
284	8173	6166
285	8202	6137
286	8231	6109
